Id,Label,Weight
Oliver,Oliver,5
Argus,Argus,1
Ron,Ron,429
James,James,5
Ginny,Ginny,5
Dumbledore,Dumbledore,156
Voldemort,Voldemort,36
Fred,Fred,34
Percy,Percy,39
Draco,Draco,10
Peeves,Peeves,33
Snape,Snape,172
Hermione,Hermione,270
George,George,30
Harry,Harry,1324
Lily,Lily,7
Sirius,Sirius,2
Id,Label,Weight
Oliver,Oliver,10
Argus,Argus,8
Peeves,Peeves,26
Ron,Ron,695
Ginny,Ginny,114
Dumbledore,Dumbledore,155
Molly,Molly,6
Voldemort,Voldemort,24
Fred,Fred,103
Percy,Percy,72
Colin,Colin,46
Snape,Snape,98
Hermione,Hermione,320
Harry,Harry,1643
Draco,Draco,34
George,George,91
